"Business Name","Contact Name",Phone,Email,Address,City,State,ZIP,Status,"Visit Date",Notes
"Raab Construction","Jeff Midley (Owner), Liz (Gatekeeper)",206-408-7460,,"9917 SW 178th St Suite 101",Vashon,WA,98070,interested,"2026-03-31 21:15:08","Construction company. Owner Jeff Midley. Gatekeeper Liz - spunky, friendly, prefers animals (cats/dogs) over people. Likes organization and paperwork."
"Kathy's Corner","Kathy Wheaton (Owner)",206-463-9416,,"18025 Vashon Highway SW",Vashon,WA,98070,customer,"2026-03-31 20:58:54","Inherited customer from previous rep. Island's biggest nursery and landscaping business. Owner ~73-74 years old. Upgrading from HFC to EoF (Ethernet over Fiber). Pre-contract phase - sales engineer Susan validating service availability. Migration to fiber connection in progress."
"Standard Goods","JR (Gatekeeper), Geoff & Kristina (Owners)",,,"17624 Vashon Highway SW",Vashon,WA,98070,interested,"2026-03-31 20:54:59","Gatekeeper JR, owners Geoff and Kristina. Phone number not obtained during visit. Need to follow up for contact info and assess business needs."
"Vashon Strong","Tana (Gatekeeper)",206-999-3802,,"17630 Vashon Highway SW",Vashon,WA,98070,interested,"2026-03-31 20:48:01","Personal fitness and strength training gym. Gatekeeper Tana was training someone during visit. Need to follow up for decision maker contact and assess business internet needs."
"Vashon Island Bakery","Isabelle (Gatekeeper), Elijah (Maker), Andy","+1 (206) 463-1441",,"17050 Vashon Highway SW",Vashon,WA,98070,interested,"2026-03-31 17:37:50","Intermittent speed issues reported. Isabelle could not connect to Wi-Fi with her phone. Opportunity to fix connectivity issues. Need to follow up and get email address."
"Red Hot",Elliot,,,"2914 N 6th St",Tacoma,WA,98406,followup,"2026-03-28 02:49:20","2026-03-27: Spoke with Elliot - slammed busy, came off rude but was just busy/didn't apologize. Following up with manager tomorrow morning about Mariners TV channel special. Existing customer - info in café system."
"Brown Family Vineyards","Gutierrez (affiliated) / Mike (gatekeeper)",,,,,WA,98407,new,"2026-03-25 21:37:55","Gatekeeper: Mike. Gutierrez affiliated with the vineyard. Need to gather more info."
"Easton West",Tom,,,"2414 N Proctor St",Tacoma,WA,98407,existing_customer,"2026-03-25 21:13:32","Asian food restaurant. Gatekeeper: Rachel. Decision maker: Tom (was not in). Currently has Comcast. Declined new service but open to bill analysis. Phone/email in café system."
"ACI-Home (Resident Owned Parks)","Martin Kaelli",+19169476997,accounting@aci-home.com,"3208 28th St Ct E",Tacoma,WA,98443,analysis,"2026-03-25 19:44:04","Senior Accountant/Controller. Internet + Phone services needed. MRR ~$250. Cold calling blitz prospect."
"Knapps Restaurant","Billy Brewer",,,"Proctor District",Tacoma,WA,98407,interested,"2026-03-16 22:43:24","Triple Play package. Stage 3 - Second Review completed."
"KO Construction","Keith Osmonson",,,,Tacoma,WA,98404,interested,"2026-03-16 22:43:24","High-intent upsell. Stage 4 - Proposal Sent."
"Compass Rose","Tanya Brooks",253-773-0077,,"3815 North 26th Street",Tacoma,WA,98407,interested,"2026-03-16 22:43:24","13-year Proctor District staple. Need email for follow-up."
"Proctor Shoe Repair",Henry,253-883-9136,,"3817 1/2 North 26th Street",Tacoma,WA,98407,interested,"2026-03-16 22:43:24","Existing Comcast customer. Need email for newsletter."
"Crave Cookies","Dalton Ohlson",253-260-7417,,"17526 Meridian Avenue East, Suite B202",Puyallup,WA,98375,interested,"2026-03-16 22:43:24","Personal: 253-457-6486. Multi-business owner."
"Endeavor Eye Center","Dr. Kevin / Dr. Connie",,,,Tacoma,WA,98407,interested,"2026-03-16 22:43:24","Gatekeeper: Cher. Need to reach doctors."
"Proctor Family Dentistry","Greg Dent",253-759-6800,,"2614 North Adams Street",Tacoma,WA,98407,interested,"2026-03-16 22:43:24","Gatekeeper: Andy. Office Manager: Jennifer."
"test contact","test contact",+12535559999,test@example.com,"",Tacoma,WA,"",interested,"2026-03-16 22:42:32","Synced from GHL. Tags: "
"New Era Cleaners",yesi,+12537593501,fuzzywuzzy@q.com,"2621 N Proctor Street, Tacoma, WA 98407",Tacoma,WA,98407,interested,"2026-03-16 22:42:31","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
Lapis,emily,+12535074969,hello@lapistacoma.com,"3823 N 26th Street, Tacoma, WA 98407",Tacoma,WA,98407,interested,"2026-03-16 22:42:31","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
"pamela phelps","pamela phelps",+12537594238,pamelaphelps@proctorart.com,"3811 North 26th Street",Tacoma,WA,98407,interested,"2026-03-16 22:42:31","Synced from GHL. Tags: hot-lead, existing-comcast, retention, proctor-district, art-gallery"
"liz bright","liz bright",+12537592884,chirpandco@hotmail.com,"3803 North 26th Street",Tacoma,WA,98407,followup,"2026-03-16 22:42:31","Synced from GHL. Tags: prospect, follow-up-later, proctor-district, existing-comcast, wild-bird-store"
"Pizzeria Fondi","chris olsen",+12538516666,chris@fondi.com,"2515 N. Proctor St, Tacoma, WA 98406",Tacoma,WA,98406,interested,"2026-03-16 22:42:30","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
"Smart PNW","james roddy",+12534480456,james@smartpnw.com,"",Puyallup,WA,"",interested,"2026-03-16 22:42:30","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
"Peaks and Pints","ron swarner",+12533285621,ron.swarner@peaksandpints.com,"3816 N 26th St, Ste B, Tacoma, WA 98407",Tacoma,WA,98407,interested,"2026-03-16 22:42:30","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
