business_name,address,city,state,zip,phone,license_number,ubi,license_type,privileges,renewal_date,latitude,longitude,source,scraped_at
6 BUCKS,19944 S PRAIRIE RD E STE 7901,BONNEY LAKE,WA,98391,2539211169,425415,6041289950010004,Liquor Renewal,S/B/W Restaurant Lounge (-),20260531,47.16745,-122.16221,LCB_API,2026-06-23T19:45:09.003Z
CROCKETT'S PUBLIC HOUSE,"20649 STATE ROUTE 410 E, STE 305 & 306",BONNEY LAKE,WA,98391,2537503789,081610,6052720320010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260630,47.16843,-122.15469,LCB_API,2026-06-23T19:45:09.003Z
RED ROBIN GOURMET BURGERS & BREWS,9415 192ND AVE E,BONNEY LAKE,WA,98391,5096620110,413243,6012437280010050,Liquor Renewal,S/B/W Restaurant Lounge (+),20260430,47.17142,-122.17376,LCB_API,2026-06-23T19:45:09.003Z
SWISS SPORTSMEN'S CLUB OF TACOMA,"9205 198TH AVE E, SMP - 1",BONNEY LAKE,WA,98391,2068621142,074946,6002819130010001,Liquor Renewal,Private Club - Spirits/Beer/Wine,20260630,47.17337,-122.16542,LCB_API,2026-06-23T19:45:09.003Z
BOOTLEGGERS BAR & GRILL,29285 HWY 410 E,BUCKLEY,WA,98321,3608295060,358866,6040126190010001,Liquor Renewal,Kegs To Go; S/B/W Restaurant Lounge (+),20260630,47.15822,-122.03882,LCB_API,2026-06-23T19:45:09.003Z
ELK HEAD BREWING,28120 HWY 410 STE A-10,BUCKLEY,WA,98321,3608292739,085330,6022933980010001,Liquor Renewal,Microbrewery,20260531,47.15946,-122.05265,LCB_API,2026-06-23T19:45:09.003Z
MI MARIACHI ALEGRE,29401 STATE ROUTE 410 E,BUCKLEY,WA,98321,3607617329,072741,6049096330010001,Liquor Renewal,Premixed Cocktails/ Wine To- Go; S/B/W Restaurant Lounge (+),20260531,47.15809,-122.03674,LCB_API,2026-06-23T19:45:09.003Z
FIRCREST GOLF CLUB,1500 REGENTS BLVD,FIRCREST,WA,98466,2535646756,351116,2780033230010001,Liquor Renewal,Private Club - Spirits/Beer/Wine; Non-Club Event; Tobacco Product Retailer; Off-Premises Sale Wine,20260531,47.23859,-122.52511,LCB_API,2026-06-23T19:45:09.003Z
FARRELLI'S,5104 GRAND LOOP,RUSTON,WA,98407,2539120728,423851,6022926050010008,Liquor Renewal,Direct Shipment Receiver- In WA Only; Off-Premises Sale Wine; Kegs To Go; Catering; S/B/W Restaurant Lounge (+),20260531,47.29978,-122.50511,LCB_API,2026-06-23T19:45:09.003Z
SILVER CLOUD,5125 GRAND LOOP,RUSTON,WA,98407,4256379800,431265,6010657230010001,Liquor Renewal,Hotel,20260430,47.30002,-122.50571,LCB_API,2026-06-23T19:45:09.003Z
UNICORN SPORTS BAR,5302 N 49TH ST,RUSTON,WA,98407,2537525939,353065,6021985160010001,Liquor Renewal,S/B/W Restaurant Lounge (-),20260430,47.29487,-122.50832,LCB_API,2026-06-23T19:45:09.003Z
"AMVETS, ALVAH R. DRAVIS POST NUMBER ONE",5717 S TYLER,TACOMA,WA,98409,2534722552,076491,2780457940010002,Liquor Renewal,Private Club - Spirits/Beer/Wine,20260630,47.20543,-122.49241,LCB_API,2026-06-23T19:45:09.003Z
ANTOJOS MEXICAN GRILL,6104 6TH AVE,TACOMA,WA,98406,(253) 212-0914,359978,6028672620010010,Liquor Renewal,S/B/W Restaurant Lounge (+),20260630,47.25521,-122.5192,LCB_API,2026-06-23T19:45:09.003Z
BEN DEWS CLUB HOUSE GRILL & BAR,6501 6TH AVE,TACOMA,WA,98406,2535644442,353838,6017838290010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260430,47.25592,-122.5245,LCB_API,2026-06-23T19:45:09.003Z
BLACK STAR PUB & GRILL,158 S 100TH,TACOMA,WA,98444,2535362100,070196,6026201560010001,Liquor Renewal,Cigarette Retailer; S/B/W Restaurant Lounge (-); Kegs To Go,20260630,47.16643,-122.43328,LCB_API,2026-06-23T19:45:09.003Z
CACTUS PROCTOR,2506 N PROCTOR ST,TACOMA,WA,98406,4258939799,427809,6042548910010001,Liquor Renewal,Catering; S/B/W Restaurant Lounge (+),20260430,47.2704,-122.48887,LCB_API,2026-06-23T19:45:09.003Z
CIDER & CEDAR,744 MARKET ST UNIT 102B,TACOMA,WA,98402,3608885433,420195,6044549890010002,Liquor Renewal,Direct Shipment Receiver- In/Out WA; Off Premises; Tavern - Beer/Wine,20260531,47.25603,-122.44262,LCB_API,2026-06-23T19:45:09.003Z
COOPERS FOOD AND DRINK,5928 N 26TH ST,TACOMA,WA,98407,2532978268,357673,6041193680010001,Liquor Renewal,S/B/W Restaurant Lounge (-),20260430,47.27113,-122.51833,LCB_API,2026-06-23T19:45:09.003Z
CRAB KING,3111 S 38TH ST,TACOMA,WA,98409,4257768880,077754,6041251410010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260531,47.22274,-122.47729,LCB_API,2026-06-23T19:45:09.003Z
DYSTOPIAN STATE BREWING CO.,616 ST HELENS AVE STE 201,TACOMA,WA,98402,2532127028,421423,6035174830010002,Liquor Renewal,Microbrewery; B/W On Premises Endorsement,20260630,47.25769,-122.44323,LCB_API,2026-06-23T19:45:09.003Z
EL PARCHE COLOMBIAN RESTAURANT TACOMA,6324 E MCKINLEY AVE,TACOMA,WA,98404,2064076821,365072,6047461690010001,Liquor Renewal,Catering; S/B/W Restaurant Lounge (+),20260430,47.19918,-122.42091,LCB_API,2026-06-23T19:45:09.003Z
FARRELLI'S,3518 6TH AVE,TACOMA,WA,98406,2539120728,088987,6022926050010006,Liquor Renewal,Direct Shipment Receiver- In WA Only; Off-Premises Sale Wine; Kegs To Go; S/B/W Restaurant Lounge (-),20260531,47.25483,-122.48328,LCB_API,2026-06-23T19:45:09.003Z
FARRELLI'S,210 GARFIELD ST,TACOMA,WA,98447,2539120728,401269,6022926050010005,Liquor Renewal,Direct Shipment Receiver- In WA Only; Off-Premises Sale Wine; Kegs To Go; S/B/W Restaurant Lounge (-),20260531,47.14613,-122.43506,LCB_API,2026-06-23T19:45:09.003Z
FERGIE'S ON THE AVE,3504 MC KINLEY AVE,TACOMA,WA,98404,2536275874,358404,6030049720010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260430,47.23005,-122.42115,LCB_API,2026-06-23T19:45:09.003Z
FIELD BAR,2614 6TH AVE,TACOMA,WA,98406,4257367004,429013,6044388880010001,Liquor Renewal,Direct Shipment Receiver- In WA Only; Off-Premises Sale Wine; Kegs To Go; S/B/W Restaurant Lounge (+),20260430,47.25543,-122.471,LCB_API,2026-06-23T19:45:09.003Z
FONDI PIZZERIA,2513-2315 N PROCTOR ST,TACOMA,WA,98406,2533066552,354000,6045122210010002,Liquor Renewal,Direct Shipment Receiver- In WA Only; Factory Sealed Containers Takeout; Premixed Cocktails/ Wine To- Go; Growlers Takeout; S/B/W Restaurant Lounge (+),20260630,47.27073,-122.48887,LCB_API,2026-06-23T19:45:09.003Z
GINO'S AT THE POINT,6912 SOUNDVIEW DR NE,TACOMA,WA,98422,2538151215,356607,6041378910010001,Liquor Renewal,S/B/W Restaurant Lounge (+); Direct Shipment Receiver- In WA Only,20260630,47.31844,-122.42743,LCB_API,2026-06-23T19:45:09.003Z
HOTEL MURANO,1320 BROADWAY PLAZA,TACOMA,WA,98402,2812036615,369126,6049186890010001,Liquor Renewal,Hotel,20260531,47.2505,-122.43964,LCB_API,2026-06-23T19:45:09.003Z
I.B.P.O.E OF W MT TACOMA LODGE #142,2114 TACOMA AVE S,TACOMA,WA,98402,2535731301,402791,6017102150010002,Liquor Renewal,Private Club - Spirits/Beer/Wine,20260531,47.24159,-122.44224,LCB_API,2026-06-23T19:45:09.003Z
JOHNNYS DOCKS SEAFOOD N GRILL,1900 E D ST,TACOMA,WA,98421,2065489999,363083,6030612310010004,Liquor Renewal,Catering; S/B/W Restaurant Lounge (+),20260630,47.24582,-122.43102,LCB_API,2026-06-23T19:45:09.003Z
LA COCINA MEXICANA,3802 S CEDAR ST STE B,TACOMA,WA,98409,2535031024,407625,6030220970010002,Liquor Renewal,S/B/W Restaurant Lounge (+),20260630,47.22192,-122.47672,LCB_API,2026-06-23T19:45:09.003Z
LECHON LOCO,3511 MCKINLEY AVE,TACOMA,WA,98404,2067243202,434173,6055225040010001,Liquor Renewal,Factory Sealed Containers Takeout; Premixed Cocktails/ Wine To- Go; Catering; S/B/W Restaurant Lounge (+),20260531,47.22971,-122.42084,LCB_API,2026-06-23T19:45:09.003Z
M/A WILD WEST VFW POST 91,2000 S UNION AVE,TACOMA,WA,98405,2537596995,092736,2780465210010003,Liquor Renewal,Private Club - Spirits/Beer/Wine,20260531,47.24172,-122.48312,LCB_API,2026-06-23T19:45:09.003Z
MAZATLAN RESTAURANT #16,11102 PACIFIC AVE S,TACOMA,WA,98444,2535385388,361912,6021293230010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260630,47.15619,-122.43466,LCB_API,2026-06-23T19:45:09.003Z
NARROWS BRIDGE POST 10018 VFW,4741 N BALTIMORE ST,TACOMA,WA,98407,2537590817,077553,6032986280010001,Liquor Renewal,Private Club - Spirits/Beer/Wine,20260430,47.29266,-122.50738,LCB_API,2026-06-23T19:45:09.003Z
PACIFIC SEAFOOD,1199 DOCK ST,TACOMA,WA,98402,5039054446,414633,6044352780010002,Liquor Renewal,Direct Shipment Receiver- In WA Only; Off-Premises Sale Wine; S/B/W Restaurant Lounge (+),20260430,47.25252,-122.43523,LCB_API,2026-06-23T19:45:09.003Z
PARK AVENUE TAVERN,7215 PARK AVE S,TACOMA,WA,98408,2534754811,353033,6003653450010001,Liquor Renewal,S/B/W Restaurant Lounge (-); Kegs To Go,20260531,47.19134,-122.44126,LCB_API,2026-06-23T19:45:09.003Z
PRIMO GRILL,2701 6TH AVE,TACOMA,WA,98406,2533837000,418450,6019639230010002,Liquor Renewal,S/B/W Restaurant Lounge (-),20260630,47.25544,-122.47153,LCB_API,2026-06-23T19:45:09.003Z
PUGET SOUND PIZZA,317 S 7TH ST,TACOMA,WA,98402,2534958404,086543,6036145570010001,Liquor Renewal,S/B/W Restaurant Lounge (+); Kegs To Go,20260531,47.25752,-122.44228,LCB_API,2026-06-23T19:45:09.003Z
RAM BREWERY,5001 S WASHINGTON ST,TACOMA,WA,98409,2535881788,088224,6025153580010001,Liquor Renewal,Microbrewery,20260630,47.21144,-122.48504,LCB_API,2026-06-23T19:45:09.003Z
RED ROBIN AMERICA'S GOURMET BURGERS & SPIRITS,3901 SO STEELE ST,TACOMA,WA,98409,5096620110,367589,6012437280010041,Liquor Renewal,S/B/W Restaurant Lounge (+),20260430,47.22183,-122.46795,LCB_API,2026-06-23T19:45:09.003Z
RHEIN HAUS,633 DIVISION AVE,TACOMA,WA,98403,2064203318,419710,6035081350010001,Liquor Renewal,S/B/W Restaurant Lounge (+); Catering,20260531,47.26361,-122.4481,LCB_API,2026-06-23T19:45:09.003Z
SHAKABRAH TACOMA,2618 6TH AVE,TACOMA,WA,98406,2535722787,084606,6031091750010003,Liquor Renewal,S/B/W Restaurant Lounge (+),20260430,47.25544,-122.47118,LCB_API,2026-06-23T19:45:09.003Z
SHAMROCK TAVERN,11118 PACIFIC AVE S,TACOMA,WA,98444,2536866646,350657,6040097610010001,Liquor Renewal,S/B/W Restaurant Lounge (-),20260630,47.15588,-122.43471,LCB_API,2026-06-23T19:45:09.003Z
SIG BREWING COMPANY,2534 TACOMA AVE S,TACOMA,WA,98402,2063720270,423265,6041129390010001,Liquor Renewal,Microbrewery; B/W Restaurant - Wine,20260531,47.23708,-122.44166,LCB_API,2026-06-23T19:45:09.003Z
SIPSOCIETY LLC,506 GARFIELD ST S,TACOMA,WA,98444,4254442539,078375,6049764460010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260531,47.14617,-122.4386,LCB_API,2026-06-23T19:45:09.003Z
STACK 571 BURGER & WHISKEY BAR,5061 MAIN ST,TACOMA,WA,98407,4254270127,423714,6036148020010001,Liquor Renewal,S/B/W Restaurant Lounge (+); Factory Sealed Containers Takeout; Premixed Cocktails/ Wine To- Go; Growlers Takeout,20260531,47.2987,-122.50485,LCB_API,2026-06-23T19:45:09.003Z
STEEL CREEK AMERICAN WHISKEY CO.,1114 BROADWAY,TACOMA,WA,98402,2536271229,079113,6032916100010001,Liquor Renewal,Catering; S/B/W Restaurant Lounge (+),20260430,47.2526,-122.43993,LCB_API,2026-06-23T19:45:09.002Z
TACOMA ARTS LIVE,"1001 S YAKIMA AVE, ROOSEVELT RM&DRILL/PARADE",TACOMA,WA,98405,2533531113,432022,6005071500010003,Liquor Renewal,Non-Profit Arts Organization,20260630,47.25312,-122.44659,LCB_API,2026-06-23T19:45:09.003Z
TACOMA LAWN TENNIS CLUB,502 BOROUGH RD,TACOMA,WA,98403,2533835934,350731,2780305640010001,Liquor Renewal,Private Club - Spirits/Beer/Wine,20260531,47.2674,-122.45627,LCB_API,2026-06-23T19:45:09.003Z
TACOMA LITTLE THEATRE AND DRAMA LEAGUE,210 N I ST,TACOMA,WA,98403,2532722281,073518,2780053470010001,Liquor Renewal,Non-Profit Arts Organization,20260630,47.26249,-122.4524,LCB_API,2026-06-23T19:45:09.003Z
TACOMA MUSICAL PLAYHOUSE,7116 6TH AVE,TACOMA,WA,98406,2535656867,401596,6015148020010001,Liquor Renewal,Non-Profit Arts Organization,20260630,47.25551,-122.53202,LCB_API,2026-06-23T19:45:09.003Z
TACOMA PIE,4417 6TH AVE #A & #C,TACOMA,WA,98406,2533208734,405548,6046053880010001,Liquor Renewal,Factory Sealed Containers Takeout; Premixed Cocktails/ Wine To- Go; S/B/W Restaurant Lounge (+),20260531,47.25558,-122.49696,LCB_API,2026-06-23T19:45:09.003Z
TACOMA WINE MERCHANTS,2112 N 30TH ST STE C,TACOMA,WA,98403,2537798258,432125,6041313130010002,Liquor Renewal,Tavern - Beer/Wine; Direct Shipment Receiver- In/Out WA; Off Premises,20260531,47.27478,-122.46455,LCB_API,2026-06-23T19:45:09.003Z
TAMI'S IN TACOMA,4034 MCKINLEY AVE,TACOMA,WA,98404,2539212016,353207,6028317370010002,Liquor Renewal,S/B/W Restaurant Lounge (-); Kegs To Go,20260531,47.21959,-122.42087,LCB_API,2026-06-23T19:45:09.003Z
THE CAMP BAR,1310 TACOMA AVE S,TACOMA,WA,98402,3605106584,354447,6054993330010001,Liquor Renewal,S/B/W Restaurant Lounge (-),20260630,47.25026,-122.44388,LCB_API,2026-06-23T19:45:09.003Z
THE CRAFTY BEAVER,612 TACOMA AVE S STE A,TACOMA,WA,98402,2062357584,435459,6052403800010001,Liquor Renewal,Off Premises; Tavern - Beer/Wine,20260531,47.25753,-122.4457,LCB_API,2026-06-23T19:45:09.003Z
THE OFFICE,813 PACIFIC AVE,TACOMA,WA,98402,2063564699,085362,6030196310010001,Liquor Renewal,S/B/W Restaurant Lounge (-); Cigarette Retailer,20260531,47.2559,-122.43918,LCB_API,2026-06-23T19:45:09.003Z
THE OLD SPAGHETTI FACTORY,1250 PACIFIC AVE,TACOMA,WA,98402,5092250433,422389,6010036330010007,Liquor Renewal,S/B/W Restaurant Lounge (+),20260630,47.25166,-122.43822,LCB_API,2026-06-23T19:45:09.003Z
THE SPAR,2121 N 30TH ST,TACOMA,WA,98403,2536278215,350093,6010327970010001,Liquor Renewal,S/B/W Restaurant Lounge (+); Direct Shipment Receiver- In WA Only,20260630,47.27504,-122.46486,LCB_API,2026-06-23T19:45:09.003Z
TRAPPER'S SUSHI TACOMA,3120 6TH AVE,TACOMA,WA,98406,2538912046,368478,6032853650010002,Liquor Renewal,S/B/W Restaurant Lounge (+),20260531,47.25526,-122.47751,LCB_API,2026-06-23T19:45:09.003Z
VALLEY PUB,1206 PUYALLUP AVE,TACOMA,WA,98421,2532744784,354042,6033949050010001,Liquor Renewal,S/B/W Restaurant Lounge (-),20260430,47.24176,-122.4168,LCB_API,2026-06-23T19:45:09.003Z
WEST END PUB,3840 6TH AVE,TACOMA,WA,98406,2534953060,354054,6046201390010001,Liquor Renewal,S/B/W Restaurant Lounge (+),20260630,47.25502,-122.48848,LCB_API,2026-06-23T19:45:09.003Z
