id,business_name,contact_name,phone,email,website,address,city,state,zip_code,visit_status,visit_date,notes,source,ghl_contact_id
81,"Chevron - Vashon Island","Ted (owner)",206-463-7601,,,"17803 Vashon Hwy SW",Vashon,WA,98070,interested,"2026-04-15 20:52:07","Gas station at Vashon Hwy and SW 178th. Owner: Ted. Gatekeeper: Gene (spelled with G). Owner son drives a black Tesla - missed him by minutes, will catch another time. No email captured yet.",whatsapp,Wp5M9SuwT6nGzUFFruEH
80,"Edward Jones - Vashon Island","James (decision-maker)",206-259-2950,,,"17232 Vashon Hwy SW, Suite F",Vashon,WA,98070,interested,"2026-04-15 20:48:54","Financial advisor office. Decision-maker: James (per Lexus, gatekeeper). Lexus is a good resource for navigating the island - from California, been here 2 years. Gatekeeper identified, decision-maker name obtained.",whatsapp,idCIXedS1TsIUZF9sw2C
79,"Fair Isle Animal Clinic","Nadia (decision-maker)",206-463-3607,contactus@fairislevet.com,fairislevet.com,"1712 Vashon Hwy SW, P.O. Box 67",Vashon,WA,98070,interested,"2026-04-15 20:41:49","Veterinary clinic. Decision-maker: Nadia. Currently with old company starting with V (likely Verizon or similar), looking to switch to Comcast. Front desk staff very open and willing to talk. Discussed new Internet service and new phone lines.",whatsapp,K6eza1tumJqBTowYUQNE
78,"Heights Water District","Derrick (current owner)",206-463-0014,,,"17612 Vashon Hwy SW",Vashon,WA,98070,interested,"2026-04-15 20:22:05","PRIORITY: NEW CONNECTION. Nonprofit water district organization. Current owner Derrick is leaving/shutting down in 2 weeks. New owner taking over but Derrick would not provide new contact info. Follow up next week and week after to connect with new ownership. New connection = highest priority opportunity.",whatsapp,zZwGnzrT6WybBUhdUpnp
77,"Law Office of John Knutson","John Knutson",206-463-6711,,,,,WA,98070,followup,"2026-04-15 20:11:08","Attorney. Needs 2 new phone lines. Currently paying over /month with AT&T. Old-school - uses typewriter (recently paid  to repair). Very sweet guy. NO EMAIL - phone only. Appointment scheduled for Tuesday April 21, 2026 at 9:00 AM. Will need to handle conversation over phone since he is on Vashon Island.",whatsapp,UzZdEZ0q3Njt679PjyqA
76,"Vashon Island Professionals (VIP)","Marie Harrington",206-463-4004,marie@vipvashon.com,vipvashon.com,"17225 Vashon Highway SW",Vashon,WA,98070,interested,"2026-04-15 19:55:19","Decision-maker and assistant to the owner. Tax preparation and financial planning services. Also has PO Box 2040.",whatsapp,OCgZR3IQpPOMhJfy4EaZ
54,"Bob Luis Sports Bar",Dominic,253-862-7521,"",,"20833 State Route 410 E","Bonney Lake",WA,98391,gatekeeper-identified,"2026-04-15 19:30:26","Unknown internet provider - opportunity for triple play | Next Action: Research internet provider; follow up with Dominic",csv-import,CJ1FH0QlYB6S1RlWRyMA
55,"Black Castle Barbershop",Unknown,"","",,"20839 State Highway 410","Bonney Lake",WA,"",gatekeeper-identified;-owner-unknown,"2026-04-15 19:30:26"," | Next Action: Return visit to find owner",csv-import,2B3e15P5mmwBRwS20OEP
56,"Club Pilates",Katie,"","",,"","Bonney Lake",WA,"",franchise-opportunity---96-locations-total,"2026-04-15 19:30:26","Franchise - each location handles own services | Next Action: Research franchise owner contact; multi-location pitch",csv-import,WEu1RmR37aWceOexSUl5
57,"Just For Kids Dentistry",Diane,253-200-2500,"",,"20811 State Highway 410 E","Bonney Lake",WA,98391,follow-up-with-diane,"2026-04-15 19:30:26","Decision-maker identified | Next Action: Medium",csv-import,Bg3W5uX5LlhIUPgPKtqa
58,"Rose Spa",Unknown,"","",,"","Bonney Lake",WA,"",pain-point:-overpaying,"2026-04-15 19:30:26","Bill too high ($166); basic phone modem | Next Action: Follow up with quote for Wireless Pro backup + potential switch",csv-import,WdnGXqF9FNU3yl8LePW6
59,"Unnamed (language barrier)",Unknown,"","",,"","Bonney Lake",WA,"",return-visit-needed,"2026-04-15 19:30:26","Language barrier; owner not present | Next Action: Return visit with bilingual materials",csv-import,7rIcC49trekjJXWJDaEc
60,"Crockett Public House",Sean,253-750-3789,"",,"20631 State Route 410 E Ste E","Bonney Lake",WA,98391,hot-lead---3-locations,"2026-04-15 19:30:26","Multi-location owner: 3 locations (Maple Valley/Bonney Lake/Puyallup) | Next Action: Research current provider; prioritize Sean contact",csv-import,VKbANpC7cy3eTYAi979P
61,"Tools Forever","Tom & Sheila","","",,"21006 WA-410","Bonney Lake",WA,"",return-visit-needed,"2026-04-15 19:30:26","Decision-makers not in today | Next Action: Return to meet Tom & Sheila",csv-import,CWkehUlqr4fQP5vRUQZc
62,"Chipper's Jewelry",Tiffani,"",marketing@chippersjewelry.com,,"","Bonney Lake",WA,"",email-acquired;-needs-follow-up,"2026-04-15 19:30:26"," | Next Action: Email Tiffani this week",csv-import,YqbpOBUB1wPO2JaSVjWM
63,"European Wax Center","Celine Ozuna","","",,"","Bonney Lake",WA,"",major-franchise-opportunity,"2026-04-15 19:30:26","Franchise - 96 locations; Tom S. Cook Jr. owns franchise | Next Action: Research Tom S. Cook Jr.; franchise-level pitch",csv-import,rh75TZBRqyoTZKKW4oPt
64,"EZ Tobacco",Patrick,253-862-0589,"",,"21261 State Route 410 E","Bonney Lake",WA,98391,decision-maker-identified,"2026-04-15 19:30:26","Family business - Patrick has full authority | Next Action: Research current setup; follow up with Patrick",csv-import,cqRLfaCQm3nCcHokTqNZ
65,"Nico Teriyaki",Patrick,"","",,"","Bonney Lake",WA,"",multi-business-owner---2-locations-so-far,"2026-04-15 19:30:26","Same owner as EZ Tobacco (Patrick) | Next Action: Research what else Patrick owns; bundle pitch",csv-import,HrSzW7BZ2eZU2lWxxa6E
66,"Hungry Dog's Diner",Unknown,253-891-8818,"",,"21185 State Route 410","Bonney Lake",WA,98391,return-visit-needed,"2026-04-15 19:30:26","Decision-maker unknown | Next Action: Return to get owner info",csv-import,OqmaEuSTvtafYxSvTfMt
67,"Modern Hippie Wellness Cafe",Sydney,"",connect@modernhippielife.com,,"","Bonney Lake",WA,"",email-acquired;-sydney-in-office-couple-times/week,"2026-04-15 19:30:26"," | Next Action: Email Sydney to schedule meeting",csv-import,uueFhI78wxCGXlYwClZJ
68,"Unnamed (language barrier)","Juan (Wan/Won)","","",,"Bonney Lake",WA,"","",consider-different-approach-or-deprioritize,"2026-04-15 19:30:26","Low priority due to communication challenge | Next Action: Low",csv-import,H9NR7MkeSRKXOi0TZM0H
69,"Lake Tapps Chiropractic",Linda/Amy/Sammy,"","",,"","Bonney Lake",WA,"",existing-customer---retention-play,"2026-04-15 19:30:26","Power outages cause WebEx/call forwarding issues | Next Action: Propose fiber upgrade + backup power solution",csv-import,n1c3YGAPfujDo8kiFlrM
70,"Lark Dermatology","Cheryl (decision-making liaison)",253-381-9239,"",,"","Bonney Lake",WA,"",proposal-sent,"2026-04-15 19:30:26","Medical practice - laser aesthetics. Decision-making liaison: Cheryl (called today, 253-381-9239). Dr. Daniel Levi in once/week. READY FOR CONTRACT - moved to proposal stage.",csv-import,TB469UlZ5YOqE0ea6Al5
