Date,Business Name,Contact,Gatekeeper,Status,Phone,Email,Location,Notes
2026-04-20,Mr. Jalapeño,Jose,Chelle,Customer,253-862-1502,,Bonney Lake,Family Mexican restaurant - account review opportunity
2026-04-20,Bonney Lake Dental (Novel Dental),Erin,Aly,Customer,253-236-7456,aaron@noveldental.org,Bonney Lake,HIGH PRIORITY - critical need for high-speed internet
2026-04-20,Menchie's Frozen Yogurt,Deja,Kaela,Interested,253-862-7440,,Bonney Lake,FOLLOW UP - Deja will be in office tomorrow
2026-04-20,Unnamed Business,Tara,Alicia,Interested,253-862-2281,,Bonney Lake,Tara handles account
2026-04-20,HOTWORX - Bonney Lake,Carly,,Follow-up,,,Bonney Lake,Franchise opportunity - related to Sierra Boyce
2026-04-20,Jersey Mike's Subs,,,Disqualified,,,Bonney Lake,Corporate-managed - out of BAE territory
2026-04-23,Pearl Counseling Associates,,,Walk-in - No one,,,Tacoma,Research service status before follow-up
2026-04-23,Meritt Financial Group,,Selena,Research needed,,,Tacoma,Corporate handles IT decisions - research corporate contact
2026-04-23,Haley Chiropractic Clinic,Dr. Mark Haley,Terri,Interested,,,Tacoma,Follow-up scheduled Friday 10:30 AM
2026-04-23,My Tacoma Dentist,Lolanda Maes,,Customer,,,Tacoma,Existing customer - long-time friend of Xavier
2026-04-23,Pearl Street Heated Self Storage,Jeremy Mohr,Emily Moore,Prospect,,98406,Tacoma,
2026-04-24,Tacoma Eye,Dr. George Meers,Olivia,Customer,,,Tacoma,Existing Comcast customer
2026-04-24,Giesy Family & Implant Dentistry,Michael J. Giesy DMD,"Chris (DM), Theresa (OM), Lisa (GK), Kathy",Interested,,,Tacoma,Dental practice - multiple decision-makers
2026-04-24,Gentle Touch Acupuncture,Dr. Melinda Morrison,Sam,Interested,,,Tacoma,Alternative medicine practice
2026-04-24,PURE Property Management of Washington,Zach,,Interested,,,Tacoma,Property management - multi-location potential
2026-04-24,Pratt Horstman & Stratton PLLC,Christina Bravo,,Interested,,,Tacoma,Law firm - direct access to decision-maker
2026-04-24,Puyallup Food Bank,David Coe,,Follow-up,,,Puyallup,Non-profit - COO contact
